Item Kas,Satuan,Jenis Item,Kategori Akun
Dough Pizza Mini,pcs,HPP,HPP
Dough Pizza Reguler,pcs,HPP,HPP
Duplikat Kunci,,Pemeliharaan Gedung,Beban Operasional
Ember,pcs,Peralatan,Beban Operasional
Erus/Sendok Sayur,pcs,Peralatan,Beban Operasional
Flash Sale,pcs,Biaya Promo Lainnya,Beban Marketing
Flashdisk,pcs,Peralatan,Beban Operasional
Foto Produk,,Biaya Promo Lainnya,Beban Marketing
Fotocopy,pcs,Beban ATK,Beban Operasional
Free KIA (Kartu Identitas Anak),pcs,Biaya Promo Lainnya,Beban Marketing
Free Pesanan,pcs,Biaya Promo Lainnya,Beban Marketing
French Fries,gram,HPP,HPP
Fruit Tea,pcs,HPP,HPP
Gagang Pintu,pcs,Perlengkapan,Beban Operasional
Gaji Karyawan,,Gaji Karyawan,Beban Gaji
Gaji Parkir,pcs,Retribusi Lingkungan / Iuran RT,Beban Operasional
Galon (beli baru),pcs,"Galon, Ice Tube",Beban Penjualan
Ganti Filter Pureit,pcs,Air,Beban Operasional
Gantungan Baju,pcs,Peralatan,Beban Operasional
Garam,gram,Perlengkapan,Beban Penjualan
Garpu Plastik,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Gas Kompor Portable (kecil),pcs,LPG,Beban Penjualan
Gas LPG 12kg,pcs,LPG,Beban Penjualan
Gas LPG 3kg,pcs,LPG,Beban Penjualan
Gas LPG 50kg,pcs,LPG,Beban Penjualan
Gayung,pcs,Pemeliharaan Gedung,Beban Operasional
Gelas ukur,pcs,Peralatan,Beban Operasional
Gembok,pcs,Pemeliharaan Gedung,Beban Operasional
Gergaji Besi,pcs,Peralatan,Beban Operasional
Give Away,pcs,Biaya Promo Lainnya,Beban Marketing
Go Send Dari DC ke Store,,Beban Ekspedisi,Beban Operasional
Gorden/Tirai,pcs,Perlengkapan,Beban Operasional
Grentea Sachet,pcs,HPP,HPP
Gula Coklat/Aren,ml,HPP,HPP
Gula Merah/Batok,gram,Perlengkapan,Beban Penjualan
Gula Pasir,gram,HPP,HPP
Gunting,pcs,Peralatan,Beban Operasional
Hadiah Door Prize Ulang Tahun,,Biaya Promo Lainnya,Beban Marketing
Hand Glove,pack,Perlengkapan,Beban Penjualan
Hand Sanitizer,ml,Perlengkapan,Beban Operasional
Hansaplas,pcs,Peralatan,Beban Operasional
Ice Tube/Es Batu,pack,"Galon, Ice Tube",Beban Penjualan
Isi Staples,pcs,Beban ATK,Beban Operasional
Isi Ulang Galon,galon,"Galon, Ice Tube",Beban Penjualan
Isolasi/Selotip,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Iuran keamanan,,Retribusi Lingkungan / Iuran RT,Beban Operasional
Iuran RT,,Retribusi Lingkungan / Iuran RT,Beban Operasional
Iuran Sampah,,Retribusi Lingkungan / Iuran RT,Beban Operasional
Jagung,gram,Mix Vegeatable,Beban Penjualan
Jam Dinding,pcs,Peralatan,Beban Operasional
Jamur,gram,Mix Vegeatable,Beban Penjualan
Jatah Makan Juru Parkir (JUKIR),pcs,Konsumsi,Beban Operasional
Jebakan/Lem/Racun Tikus,pcs,Janitorial,Beban Penjualan
Jeruk Nipis,pcs,Mix Vegeatable,Beban Penjualan
Kabel,pcs,Pemeliharaan Gedung,Beban Operasional
Kabel Charger/Cas Handphone (HP),pcs,Pemeliharaan Inventaris Office/ Produksi,Beban Operasional
Kabel Sound (jack),pcs,Perlengkapan,Beban Operasional
Kabel Ties/Tis/Tali Ripet,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Operasional
Kaca,pcs,Peralatan,Beban Operasional
Kaldu Ayam (Knor),gram,Perlengkapan,Beban Penjualan
Kalkulator,pcs,Beban ATK,Beban Operasional
Kangkung,gram,Mix Vegeatable,Beban Penjualan
Kapi,pcs,Peralatan,Beban Operasional
Karet,gram,Perlengkapan,Beban Penjualan
Kartu Perdana (SIM Card),pcs,Telepon Kantor,Beban Operasional
Kasak Besi (Cuci Piring),pcs,Janitorial,Beban Penjualan
Kawat,Meter,Pemeliharaan Gedung,Beban Operasional
Kecap Manis,ml,HPP,HPP
Keju Cheddar,gram,HPP,HPP
Keju Mozarella,gram,HPP,HPP
Kemiri,gram,Mix Vegeatable,Beban Penjualan
Kentang,pcs,Mix Vegeatable,Beban Penjualan
Keranjang Plastik,pcs,Peralatan,Beban Operasional
Kertas HVS,pcs,Beban ATK,Beban Operasional
Kertas Lem Lalat (jebakan),pcs,Peralatan,Beban Operasional
Kertas Manila,pcs,Beban ATK,Beban Operasional
